epoch	lr	loss_train	error_eval_p1	error_eval_p2	
1.000000	0.001000	9255.924650	186.198926	119.521131	
2.000000	0.001000	0.015622	186.759285	119.493382	
3.000000	0.001000	0.015605	186.767537	119.678289	
4.000000	0.001000	0.015597	185.311766	121.245460	
5.000000	0.000960	0.015590	187.151873	120.122987	
6.000000	0.000960	0.015588	186.976270	120.174682	
7.000000	0.000960	0.015584	187.100047	120.496708	
8.000000	0.000960	0.015583	187.245211	120.586357	
9.000000	0.000922	0.015580	186.576613	120.833998	
10.000000	0.000922	0.015578	186.828215	120.186948	
11.000000	0.000922	0.015578	187.011619	120.253194	
12.000000	0.000922	0.015577	186.100746	119.747446	
13.000000	0.000885	0.015575	186.289016	120.198301	
14.000000	0.000885	0.015574	187.923381	120.562678	
15.000000	0.000885	0.015573	186.696795	119.781148	
16.000000	0.000885	0.015572	186.922086	120.602337	
17.000000	0.000849	0.015571	187.287033	120.130241	
18.000000	0.000849	0.015570	186.167607	120.165353	
19.000000	0.000849	0.015570	187.735026	119.776951	
20.000000	0.000849	0.015569	186.756960	119.684123	
21.000000	0.000815	0.015568	187.228652	120.167913	
22.000000	0.000815	0.015567	187.115940	120.581601	
23.000000	0.000815	0.015567	186.885529	120.200699	
24.000000	0.000815	0.015567	187.156956	120.026389	
25.000000	0.000783	0.015566	186.051606	119.999495	
26.000000	0.000783	0.015566	185.984162	119.733851	
27.000000	0.000783	0.015564	186.280481	119.847869	
28.000000	0.000783	0.015564	186.925109	120.594491	
29.000000	0.000751	0.015564	186.905708	119.790890	
30.000000	0.000751	0.015563	186.361333	119.866355	
